   API Well Number, Well Name, Operator Name,Year,OIL (Bbls),GAS (Mcf),WATER (Bbls),Months in Production,Well Type, 
   31-013-11902-00-00  ,  Snyder 428  ,  Greenway Energy LLC  ,2009,0.00,490.00,0.00,6,Gas Development, 
   31-029-19097-00-00  ,  Snyder 6  ,  United States Gypsum Company  ,2009,0.00,2334.00,0.00,12,Gas Development, 
   31-029-18312-00-00  ,  Snyder 7  ,  United States Gypsum Company  ,2009,0.00,2553.00,0.00,12,Gas Development, 
   31-029-19120-00-00  ,  Snyder 8  ,  United States Gypsum Company  ,2009,0.00,1065.00,10.00,12,Gas Development, 
   31-121-17677-00-00  ,  Sobczak 1  ,  United States Gypsum Company  ,2009,0.00,1637.00,0.00,12,Gas Development, 
   31-029-04456-00-00  ,  Sobelewski 1  ,  Reserve Gas Company Inc.  ,2009,0.00,927.00,0.00,12,Gas Development, 
   31-009-22342-00-00  ,  Sobieraj; E 1  ,  Greenway Energy LLC  ,2009,0.00,1042.00,0.00,12,Gas Development, 
   31-015-23134-00-00  ,  Soderblom 1  ,  Repsol Oil & Gas USA LLC  ,2009,0.00,170364.00,468.00,12,Gas Extension, 
   31-009-25698-00-00  ,  Solem 1  ,  PPP Future Development Inc.  ,2009,0.00,7727.00,700.00,6,Gas Development, 
   31-099-19505-00-00  ,  Somerville 2 (4108)  ,  Greenway Energy LLC  ,2009,0.00,3722.00,60.00,11,Gas Development, 
