   API Well Number, Well Name, Operator Name,Year,OIL (Bbls),GAS (Mcf),WATER (Bbls),Months in Production,Well Type, 
   31-051-17461-00-00  ,  Bovee 221  ,  Lenape Resources Corp. The  ,1988,0.00,0.00,0.00,0, GD , 
   31-013-11179-00-00  ,  Bowen 1  ,  Greenway Energy LLC  ,1988,0.00,1046.00,14.00,8, GD , 
   31-013-11063-00-00  ,  Bowen 219  ,  Greenway Energy LLC  ,1988,0.00,2030.00,7.00,8, GD , 
   31-013-18189-00-00  ,  Bowen 705  ,  Greenway Energy LLC  ,1988,0.00,1416.00,24.00,11, GD , 
   31-013-15459-00-00  ,  Bowen; J 1  ,  Greenway Energy LLC  ,1988,0.00,7811.00,150.00,12, GD , 
   31-037-17362-00-00  ,  Bowker 1  ,  United States Gypsum Company  ,1988,0.00,5232.00,0.00,12, GD , 
   31-029-12807-00-00  ,  Bowman Farms 1  ,  Stedman Energy Inc.  ,1988,0.00,4115.00,0.00,12, GD , 
   31-121-18059-00-00  ,  Boxler 1  ,  United States Gypsum Company  ,1988,0.00,796.00,73.00,12, GD , 
   31-121-20867-00-00  ,  Boxler; H. 2  ,  United States Gypsum Company  ,1988,0.00,396.00,88.00,11, GD , 
   31-029-16978-00-00  ,  Boy Scouts 1  ,  4927 Bramblewood Trail LLC  ,1988,0.00,713.00,0.00,5, GD , 
   31-013-11731-00-00  ,  Boyd 1  ,  PPP Future Development Inc.  ,1988,0.00,2331.00,0.00,7, GD , 
   31-013-12609-00-00  ,  Boyd 514  ,  Greenway Energy LLC  ,1988,0.00,4050.00,36.00,12, GD , 
   31-013-12610-00-00  ,  Boyd 524  ,  Greenway Energy LLC  ,1988,0.00,850.00,0.00,4, GD , 
   31-099-19673-00-00  ,  Boyle 1 (4115)  ,  Greenway Energy LLC  ,1988,0.00,5470.00,0.00,12, GD , 
   31-121-20998-00-00  ,  Bradfield; D & J 1  ,  United States Gypsum Company  ,1988,0.00,1898.00,0.00,3, GD , 
   31-013-11688-00-00  ,  Bradigan 1275  ,  Greenway Energy LLC  ,1988,0.00,441.00,0.00,9, GD , 
   31-013-12098-00-00  ,  Bradigan 1313  ,  Greenway Energy LLC  ,1988,0.00,1891.00,0.00,10, GD , 
   31-029-66471-00-00  ,  Bradley 1  ,  Frey Well Drilling Inc.  ,1988,0.00,1019.00,0.00,8, GD , 
